EdgeID	Property	Value
1327	Fund Value	$ 12 million
		
1329	Date	June 12 2012
		
1329	Fund Value	US $ 142 million
		
1330	Date	June 12 2012
		
1330	Fund Value	US $ 142 million
		
1331	Date	June 12 2012
		
1331	Fund Value	US $ 142 million
		
1332	Date	June 12 2012
		
1332	Fund Value	US $ 142 million
		
1333	Date	June 12 2012
		
1333	Fund Value	US $ 142 million
		
1334	Date	June 12 2012
		
1334	Fund Value	US $ 142 million
		
1335	Date	June 4 2013
		
1335	Fund Value	$ 35M
		
1336	Date	November 2015
		
1336	Fund Value	$ 52.6 million
		
1337	Date	November 2015
		
1337	Fund Value	$ 52.6 million
		
1338	Date	November 2015
		
1338	Fund Value	$ 52.6 million
		
1339	Date	September 2010
		
1339	Fund Value	$ 6 million
		
1340	Date	September 2010
		
1340	Fund Value	$ 6 million
		
1341	Date	September 2010
		
1341	Fund Value	$ 6 million
		
1342	Date	September 2010
		
1342	Fund Value	$ 6 million
		
1343	Date	September 2010
		
1343	Fund Value	$ 6 million
		
1344	Date	September 2010
		
1344	Fund Value	$ 6 million
		
1345	Date	September 2010
		
1345	Fund Value	$ 6 million
		
1346	Fund Value	$ 2.2 million
		
1347	Fund Value	$ 2.2 million
		
1348	Fund Value	$ 2.2 million
		
1349	Fund Value	$ 2.2 million
		
1350	Fund Value	$ 2.2 million
		
1351	Fund Value	USD $ 1 million
		
1352	Fund Value	$ 5 million
		
1353	Date	September 2005
		
1353	Fund Value	$ 1.5 million
		
1354	Fund Value	$ 7 million
		
1371	Date	17 May
		
1371	Fund Value	$ 100 million
		
1375	Date	December 2008
		
1375	Fund Value	$ 9 million
		
1376	Date	December 2008
		
1376	Fund Value	US $ 9 million
		
1377	Date	December 2008
		
1377	Fund Value	US $ 9 million
		
1378	Date	2014
		
1379	Date	November 2007
		
1379	Fund Value	750k
		
1380	Date	November 2007
		
1380	Fund Value	750k
		
1381	Date	November 2007
		
1381	Fund Value	750k
		
1382	Date	November 2007
		
1382	Fund Value	750k
		
1383	Date	November 2007
		
1383	Fund Value	750k
		
1384	Date	January 2014
		
1385	Date	2013
		
1385	Fund Value	$ 103 million
		
1386	Date	2013
		
1386	Fund Value	$ 103 million
		
1387	Date	2013
		
1387	Fund Value	$ 103 million
		
1388	Fund Value	$ 28.7 million
		
1390	Fund Value	$ 300 million
		
1391	Fund Value	$ 186 million
		
1392	Fund Value	$ 200 million
		
1393	Fund Value	$ 200 million
		
1394	Fund Value	$ 200 million
		
1395	Fund Value	$ 200 million
		
1396	Date	July 2015
		
1396	Fund Value	$ 50 million
		
1401	Date	"August 4, 2010"
		
1401	Value	$0.6 million[44]
		
1401	Type of Business	Adaptive personalization of content
		
1402	Date	"September 23, 2010"
		
