company,std_attribute,value
ziprecruiter inc,pg_1,"ziprecruiter was founded in 2010 by ian siegel,14 joe edmonds, ward poulos and will redd.1516"
lynda.com,founder,lynda weinmanbruce heavin
connectifier,services,
glassdoor,services,online employment
indeed.com,services,
linkedin,services,
lynda.com,services,online educationonline publishingonline training
slideshare,services,
ziprecruiter inc,services,artificial intelligence-based job search and job posting company
connectifier,owner,
glassdoor,owner,
indeed.com,owner,recruit
linkedin,owner,
lynda.com,owner,microsoft
slideshare,owner,microsoft corporation
ziprecruiter inc,owner,
connectifier,founder,john jersinbenjamin mccann
